CustomerKey,FirstName,MiddleName,LastName,NameStyle,BirthDate,MaritalStatus,Suffix,Gender,EmailAddress,YearlyIncome,TotalChildren,AddressLine1,AddressLine2,Phone
11000,Jon,V,Yang,False,1971-10-06,M,,M,jon24@adventure-works.com,90000.0,2,3761 N. 14th St,,1 (11) 500 555-0162
11001,Eugene,L,Huang,False,1976-05-10,S,,M,eugene10@adventure-works.com,60000.0,3,2243 W St.,,1 (11) 500 555-0110
11002,Ruben,,Torres,False,1971-02-09,M,,M,ruben35@adventure-works.com,60000.0,3,5844 Linden Land,,1 (11) 500 555-0184
11003,Christy,,Zhu,False,1973-08-14,S,,F,christy12@adventure-works.com,70000.0,0,1825 Village Pl.,,1 (11) 500 555-0162
11004,Elizabeth,,Johnson,False,1979-08-05,S,,F,elizabeth5@adventure-works.com,80000.0,5,7553 Harness Circle,,1 (11) 500 555-0131
11005,Julio,,Ruiz,False,1976-08-01,S,,M,julio1@adventure-works.com,70000.0,0,7305 Humphrey Drive,,1 (11) 500 555-0151
11006,Janet,G,Alvarez,False,1976-12-02,S,,F,janet9@adventure-works.com,70000.0,0,2612 Berry Dr,,1 (11) 500 555-0184
11007,Marco,,Mehta,False,1969-11-06,M,,M,marco14@adventure-works.com,60000.0,3,942 Brook Street,,1 (11) 500 555-0126
11008,Rob,,Verhoff,False,1975-07-04,S,,F,rob4@adventure-works.com,60000.0,4,624 Peabody Road,,1 (11) 500 555-0164
11009,Shannon,C,Carlson,False,1969-09-29,S,,M,shannon38@adventure-works.com,70000.0,0,3839 Northgate Road,,1 (11) 500 555-0110
11010,Jacquelyn,C,Suarez,False,1969-08-05,S,,F,jacquelyn20@adventure-works.com,70000.0,0,7800 Corrinne Court,,1 (11) 500 555-0169
11011,Curtis,,Lu,False,1969-05-03,M,,M,curtis9@adventure-works.com,60000.0,4,1224 Shoenic,,1 (11) 500 555-0117
